XCOLLAR,YCOLLAR,ZCOLLAR,AU
40529440.99,4109834.998,-478.0,0.4733991621185325
40529528.06,4109996.246,-478.0,0.4570380541720734
40529466.87,4109883.809,-525.0,2.041435201716946
40529226.1,4109522.114,-525.0,0.3388256416640626
40529549.42,4109946.654,-517.0,1.5699929930157142
40529501.33,4109880.996,-545.0,1.297060651883156
40529460.29,4109799.164,-555.0,1.5645929224216901
40529467.48,4109893.918,-469.0,0.5698257973950542
40529503.38,4109878.802,-545.0,1.2610211159652012
40529541.42,4109977.59,-488.0,0.3885119386751175
40529536.22,4109920.667,-535.0,1.146532839289328
40529374.96,4109705.018,-565.0,2.6583273975030646
40529476.29,4109921.373,-498.0,0.38541501057828065
40529341.99,4109728.254,-478.0,0.12536685259093927
40529545.63,4109994.401,-488.0,0.37854239743406354
40529476.93,4109873.052,-488.0,0.3056109738577183
40529486.33,4109949.687,-488.0,0.28906803412049575
40529378.91,4109782.39,-478.0,1.7189402619987197
40529427.58,4109744.166,-555.0,0.2933138734194635
40529474.55,4109789.698,-565.0,1.7541229214728693
40529477.93,4109865.052,-478.0,0.6077904140896102
40529495.9,4109807.021,-545.0,3.4920864699694563
40529435.31,4109839.104,-498.0,0.35283961816477855
40529588.39,4109984.474,-525.0,2.006249165118347
40529420.14,4109746.86,-565.0,1.7632350893671123
40529386.8,4109787.203,-498.0,0.7239590883864251
40529350.68,4109591.607,-555.0,1.8011190371770527
40529401.11,4109773.19,-555.0,3.2179404088160672
40529397.15,4109756.143,-517.0,1.643625044765061
40529476.66,4109919.174,-545.0,1.45352378275136
40529269.11,4109509.924,-555.0,2.7277311159808595
40529390.15,4109778.078,-478.0,1.5035540430093421
40529502.69,4109879.534,-545.0,1.3527967377877919
40529477.59,4109912.232,-535.0,2.966364352113351
40529475.7,4109868.303,-498.0,0.3150173842193952
40529478.97,4109824.01,-545.0,2.921289976119697
40529550.25,4109895.749,-565.0,2.3891501161744917
40529534.81,4109983.698,-488.0,0.623963058919394
40529289.23,4109572.407,-555.0,2.8429395955611536
40529369.73,4109782.274,-498.0,1.5718825843904858
40529252.3,4109496.828,-555.0,0.5849657714569149
40529472.47,4109917.006,-535.0,3.938208567124903
40529426.91,4109875.954,-498.0,1.1124884105322357
40529498.8,4109896.115,-545.0,1.5941840712501079
40529347.41,4109788.024,-498.0,2.943275369348288
40529363.7,4109663.622,-555.0,0.28266351854390553
40529576.53,4109930.475,-555.0,0.2679801547203986
40529377.28,4109757.092,-498.0,0.7320771480047102
40529406.31,4109767.623,-517.0,4.070552783919849
40529492.7,4109885.332,-525.0,0.9154483930575211
40529446.97,4109834.087,-469.0,0.5708983645154014
40529533.12,4109978.412,-469.0,4.353762685393435
40529533.92,4109991.445,-525.0,2.5263111860297247
40529485.33,4109883.521,-488.0,1.7824999146376284
40529446.63,4109829.335,-478.0,0.4404886751914789
40529326.04,4109589.149,-525.0,1.5643198285917335
40529499.63,4109989.038,-478.0,1.9548980382589978
40529447.51,4109850.918,-469.0,1.650335348296077
40529401.98,4109778.579,-478.0,0.4156998062758264
40529535.55,4109887.596,-555.0,0.5493488264760015
40529429.65,4109753.36,-535.0,0.35084396650208166
40529420.45,4109800.294,-498.0,0.3678719860318868
40529315.2,4109591.737,-535.0,1.3145191125821545
40529373.7,4109766.303,-488.0,0.39695544631855967
40529374.97,4109769.71,-525.0,2.076358360114596
40529535.55,4109899.312,-545.0,1.1375196523365148
40529461.82,4109778.781,-506.0,0.3235716603617943
40529549.98,4109919.764,-545.0,0.19521599407298265
40529363.76,4109759.712,-488.0,0.27333603801494377
